ID,LONGITUDE,LATITUDE,a,b,c,e,f,g
2266787,-87.795358,32.305343,172.55,433.8675,80.86,0.468617792,0.014197235,0
2266788,-87.32,32.62,392.7,341.8433333,41.54222222,0.105786153,0.011185973,0
2266789,-74.81,38.98,170,373.505,42.835,0.251970588,0.012222022,0
2266790,-87.331437,32.646301,250.3533333,573.9506667,67.40066667,0.269222166,0.018781108,0
2266791,-86.92,32.65,161.5,367.455,46.20777778,0.286116271,0.012024051,0
2266792,-87.221368,32.294859,104.55,220.7975,18.96375,0.181384505,0.007225049,0
2266793,-87.922755,32.077272,111.35,252.01,34.40666667,0.308995659,0.008246401,0
2266794,-85.31,32.59,247.0666667,1032.504,149.084,0.603416082,0.033786126,0
2266795,-85.75,32.82,303.45,379.225,59.06333333,0.194639424,0.012409195,0
2266796,-85.19,32.85,586.5,1161.910588,170.3229412,0.290405697,0.038020634,0
2266797,-85.018118,32.470647,378.9866667,2476.496,241.8433333,0.638131508,0.081037173,0
2266798,-88.206391,32.082906,162.775,237.1233333,25.6425,0.157533405,0.007759271,0
2266799,-88.21,32.08,95.2,243.33,27.44181818,0.288254393,0.007962369,0
2266800,-72.12,42.15,340,545.16,89.78666667,0.264078431,0.017839005,0
2266801,-86.790947,36.006272,854.8,2902.498824,507.4970588,0.593702689,0.094977056,0
2266802,-85.96969,36.255617,171.7,482.3133333,62.29166667,0.362793632,0.015782504,0
2266803,-87.36,36.53,76.908,496.078,56.654,0.736646383,0.016232919,0
2266804,-87.27,36.52,207.4,196.9,2.34,0.011282546,0.006443063,0
2266805,-87.27,36.51,276.25,832.2966667,134.6366667,0.487372549,0.027234839,0
2266806,-87.33,36.53,245.5083333,2016.694167,171.5783333,0.698869692,0.065991301,0
2266807,-87.399532,36.076014,455.175,2139.029444,207.6822222,0.456268956,0.069994419,0
2266808,-87.838333,36.507521,161.5,288.211,36.244,0.224421053,0.009430988,0
2266809,-87.678964,36.306684,95.2,259.3525,39.0975,0.410688025,0.008486666,0
2266810,-86.74,35.8,361.4766667,865.986,127.582,0.352946709,0.028337238,0
2266811,-86.87,35.93,500.3666667,2613.318889,318.5144444,0.636562077,0.085514362,0
2266812,-86.45,36.38,365.7833333,2398.366667,244.8694444,0.669438496,0.078480585,0
2266813,-86.024217,36.538955,352.75,858.86,95.96363636,0.272044327,0.028104058,0
2266814,-86.3,36.21,314.5,665.9155556,128.6205556,0.40896838,0.02179043,0
2266815,-86.781204,35.459615,161.5,636.1666667,66.58166667,0.412270382,0.020816972,0
2266816,-85.791609,35.697358,476,1978.979444,86.75333333,0.182254902,0.064757181,0
2266817,-86.73,36.24,610.3,1859.452222,242.9122222,0.39802101,0.06084595,0
2266818,-86.502344,36.189684,487.3333333,1716.454667,179.2873333,0.367894665,0.05616671,0
2266819,-86.364675,35.847792,238.1335714,1655.177857,172.4171429,0.724035431,0.054161579,0
2266820,-86.391383,35.859406,96.08090909,1699.28,62.63636364,0.651912687,0.055604712,0
2266821,-86.463425,35.488313,238,905.2921429,98.98571429,0.415906363,0.029623434,0
2266822,-85.804562,35.929907,222.7,330.64,34.62727273,0.155488427,0.010819372,0
2266823,-86.876901,36.50182,440.1785714,801.8528571,163.28,0.370940365,0.026238641,0
2266824,-87.799108,36.099664,199.75,401.621,58.201,0.291369212,0.013142048,0
2266825,-74.524993,40.266885,816,1848.854615,222.39,0.272536765,0.060499169,0
2266826,-86.78,36.15,296.1305556,2250.795556,174.0266667,0.587668727,0.073651687,0
2266827,-86.781808,36.114628,428.0909091,2444.15,225.1245455,0.525880229,0.07997873,0
2266828,-86.793922,36.146802,399.6888889,1514.999444,149.2688889,0.373462693,0.049574589,0
2266829,-86.8,36.13,359.4366667,2116.766667,214.8293333,0.597683412,0.069265925,0
2266830,-86.66,36.16,684.25,1950.281667,201.8683333,0.295021313,0.063818117,0
2266831,-86.77,36.06,930.75,2814.79,214.565,0.230529143,0.092107003,0
2266832,-74.690377,40.241977,452.2,2370.711538,163.14,0.360769571,0.077575639,0
2266833,-84.604261,35.457389,285.6,404.4822222,44.56833333,0.156051587,0.013235675,0
2266834,-84.87,35.15,390.17125,1398.780625,204.270625,0.523540945,0.045771617,0
2266835,-84.87,35.16,957.95,1000.912,138.7706667,0.144862119,0.032752356,0
2266836,-85.013455,35.500186,238,580.6533333,45.565,0.19144958,0.019000436,0
2266837,-85.392513,35.384175,153.85,452.4544444,56.79555556,0.369161882,0.014805446,0
2266838,-84.483265,35.427245,130.9,323.9622222,44.24333333,0.337993379,0.010600858,0
2266839,-86.57,35.14,493,756.525,116.3788889,0.236062655,0.024755399,0
2266840,-85.218215,35.159112,218.45,890.3338889,82.84611111,0.379245187,0.029133962,0
2266841,-74.06,40.12,510,1178.784444,110.4566667,0.216581699,0.038572789,0
2266842,-85.62,35.08,95.2,356.455,42.01166667,0.44129902,0.011664103,0
2266843,-85.91259,35.201101,294.1,370.8833333,33.8,0.114926896,0.012136235,0
2266844,-85.163009,35.252686,488.75,1147.801111,120.77,0.247099744,0.037558937,0
2266845,-84.306785,35.356237,95.2,231.8014286,35.67571429,0.374744898,0.007585125,0
2266846,-85.655097,35.386197,110.5,288.013,43.966,0.397882353,0.009424509,0
2266847,-86.21,35.36,569.5,1746.642333,133.0333333,0.233596722,0.057154527,0
2266848,-86.113038,35.186398,377.4,635.4516667,71.62277778,0.189779485,0.020793575,0
2266849,-85.296516,35.045045,499.5166667,2676.556667,282.7861111,0.566119471,0.087583661,0
2266850,-85.25,35.03,378.25,1721.628333,133.9433333,0.354113241,0.056336006,0
2266851,-85.22,35.02,199.8916667,1054.845,59.36666667,0.296994205,0.034517179,0
2266852,-85.3,35.12,284.75,649.53,65.29545455,0.229308005,0.021254254,0
2266853,-82.38,36.31,356.2633333,1031.660667,199.3246667,0.559486897,0.03375853,0
2266854,-82.389648,36.351559,653.4611111,1526.341667,174.0194444,0.266304209,0.049945735,0
2266855,-82.746667,36.204166,161.5,338.8,41.652,0.257907121,0.011086387,0
2266856,-82.365558,36.53562,648.125,1889.531875,110.5,0.170491803,0.061830232,0
2266857,-99.784721,30.911898,85,134.86,12.13875,0.142808824,0.004412958,0
2266858,-82.181864,36.568643,522.75,1001.611111,142.7977778,0.273166481,0.032775233,0
2266859,-82.201481,36.344548,498.95,934.1688889,113.945,0.228369576,0.030568354,0
2266860,-74.626741,40.590388,841.021875,3735.620625,568.0025,0.67537185,0.122238895,0
2266861,-82.490225,36.295426,161.5,541.046,58.63,0.363034056,0.017704385,0
2266862,-82.53,36.53,892.5,3004.591765,308.23,0.345355742,0.098317793,0
2266863,-84.189735,36.08688,468.35,1287.458333,157.8922222,0.33712442,0.042128872,0
2266864,-83.218743,35.834693,106.7357143,419.1628571,59.11285714,0.553824533,0.013716062,0
